SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
406;"46.72.00";2;Engroshandel med metaller og metalmalme;Branchen omfatter engroshandel med både jernholdige og ikke-jernholdige metaller og metalmalme samt guld og andre ædelmetaller. Branchen omfatter ikke metalskrot eller gammelt jern og metal (46.77.00) eller rør og støbegods (46.74.00).;"- Engroshandel med metaller og metalmalme
- Engroshandel med jernholdige og ikke-jernholdige metalmalme
- Engroshandel med jernholdige og ikke-jernholdige metaller i primær form
- Engroshandel med jernholdige og ikke-jernholdige metalhalvfabrikata i.a.n.
- Engroshandel med guld og andre ædelmetaller";;"- Engroshandel med metalskrot, jf.<ref>46.77.00</ref>
- Engroshandel med rør og støbegods, jf.<ref>46.74.00</ref>
- Engroshandel med gammelt jern og metal, jf.<ref>46.77.00</ref>";;
407;"46.73.10";2;Engroshandel med træ, trælast og byggematerialer;Branchen omfatter engroshandel med træ og byggematerialer, som fx sand, grus, fiberplader, planglas, sanitetsartikler af porcelæn samt præfabrikerede bygninger. Branchen omfatter ikke lak, maling, væg- eller gulvbeklædning jf 46.73.20;"- Engroshandel med råtræ
- Engroshandel med produkter fra førstebehandling af træ
- Engroshandel med byggematerialer herunder sand og grus
- Engroshandel med fiberplader
- Engroshandel med planglas
- Engroshandel med døre
- Engroshandel med sanitetsartikler: badekar, håndvaske, toiletter og andre sanitetsartikler af porcelæn
- Engroshandel med præfabrikerede bygninger";;;;
408;"46.73.20";2;Engroshandel med lak, maling, tapet, gulvbelægning mv.;Branchen omfatter engroshandel med lak, maling, tapet, linoleum mv. til vægge, gulve og lofter.;"- Engroshandel med lak, tapet, maling og fernis
- Engroshandel med vægbeklædning og gulvbelægning";;;;
409;"46.74.00";2;Engroshandel med isenkram, varmeanlæg og tilbehør;Branchen omfatter engroshandel med en bred vifte af varer, der spænder fra vandvandvarmere og fast inventar over låse og håndværktøj til slanger, rør og armaturer til sanitetsinstallationer.;"- Engroshandel med isenkram og låse
- Engroshandel med fast inventar
- Engroshandel med vandvarmere
- Engroshandel med udstyr til sanitetsinstallation: slanger, rør, armaturer, vandhaner, T-stykker, tilslutninger, fittings, gummirør osv.
- Engroshandel med værktøj såsom hammere, save, skruetrækkere og andet håndværktøj";;"- Engroshandel med porcelæns- og glasvarer, jf.<ref>46.44.10</ref>
- Engroshandel med hårde hvidevarer, jf.<ref>46.43.10</ref>
- Engroshandel med elektriske husholdningsartikler, jf.<ref>46.43.50</ref>
- Engroshandel med vaske og toiletkummer, jf.<ref>46.73.10</ref>";;
410;"46.75.00";2;Engroshandel med kemiske produkter;Branchen omfatter engroshandel med kemiske produkter til industrien, fx æteriske olier, kemisk lim, farvestiffer, mentanol, duft- og smagstoffer, gødningsstiffer, tryksværte og trykfarve.;"- Engroshandel med kemiske produkter til industrielt brug: anilin, tryksværte, æteriske olier, tekniske gasser, kemisk lim, farvestoffer, kunstharpiks, metanol, paraffin, duft- og smagsstoffer, soda, industrisalt, syre og svovl, stivelsesderivater mv.
- Engroshandel med gødningsstoffer og agrokemiske produkter";- Engroshandel med trykfarver;;;
411;"46.76.00";2;Engroshandel med andre råvarer og halvfabrikata;Branchen omfatter engroshandel med andre råvarer og halvfabrikater i mange forskellige materialer fx gummi, plast, papirmasse, pap og ædelsten. Branchen omfatter også emballageartikler.;"- Engroshandel med plastmateriale i primær form
- Engroshandel med gummi
- Engroshandel med tekstilfibre mv.
- Engroshandel med papirmasse
- Engroshandel med ædelstene
- Engroshandel med bageri-, slagteri- og blomsterhandlerartikler
- Engroshandel med bølgepap";- Engroshandel med emballageartikler;;;
412;"46.77.00";2;Engroshandel med affaldsprodukter;Branchen omfatter engroshandel med affalsdsprodukter både metalholdig og ikke metalholdigt. Herunder indsamling, sortering, demontering af materiale som fx biler computer og tv til genbrug. Autohug er også omfattet af branchen.;- Engroshandel med metalholdigt og ikke-metalholdigt affald samt materialer til genbrug, herunder indsamling, sortering, demontering, fjernelse af overfladelag i forbindelse med brugte varer, fx biler, med henblik på at opnå genanvendelige dele, pakning og ompakning, oplagring og levering, men uden en egentlig omdannelsesproces. Desuden har det købte og solgte affald en restværdi.;"- Demontering af biler, computere, tv-apparater og andet udstyr med henblik på at opnå og videresælge anvendelige dele
- Autoophug";"- Indsamling af husholdnings- og industriaffald, jf.<ref>38.1</ref>
- Behandling af affald med henblik på bortskaffelse og ikke på videre anvendelse i en industriel fabrikationsproces, jf.<ref>38.2</ref>
- Forarbejdning af affaldsprodukter og andre artikler til sekundært råmateriale, hvor der kræves en egentlig omdannelsesproces (det sekundære råmateriale er egnet til direkte anvendelse i en industriel fabrikationsproces, men er ikke et slutprodukt), jf.<ref>38.3</ref>
- Demontering af biler, computere, tv-apparater og andet udstyr med henblik på materialegenindvinding, jf.<ref>38.31.00</ref>
- Skibsophugning, jf.<ref>38.31.00</ref>
- Fragmentering af biler ved hjælp af en mekanisk proces, jf.<ref>38.32.00</ref>
- Detailhandel med brugte varer, jf.<ref>47.79.00</ref>";;
413;"46.90.00";2;Ikke-specialiseret engroshandel;"Branchen omfatter engroshandel, hvor ingen af varegrupperne udgør mere end 50 % af omsætningen. Der er følgende varegrupper: Landbrugsråvarer og levende dyr; Føde-, drikke- og tobaksvarer; Husholdningsartikler; Informations- og kommunikationsudstyr; Maskiner og tilbehør; Brændstof; Metaller; Træ og byggematerialer.";- Engroshandel med en række forskellige varer uden særlig specialisering;"- Skibsproviantering uden butikshandel
- Specialiseret engroshandel i.a.n.";;;
414;"47.11.10";2;Købmænd og døgnkiosker;Branchen omfatter butikker med et begrænset varesortiment inden for føde-, drikke- og tobaksvarer.;"- Detailhandel overvejende med føde-, drikke- og tobaksvarer fra almindeligvis mindre butikker med begrænset varesortiment
- Kiosker med udvidet åbningstid";;"- Videokiosker, jf.<ref>77.22.00</ref>
- Chokolade og konfektureforretninger, jf.<ref>47.24.00</ref>
- Kiosksalg i forbindelse med servicestationer, jf.<ref>47.30.00</ref>";;
415;"47.11.20";2;Supermarkeder;Branchen omfatter supermarkeder, der har et komplet varesortiment. Non-food salget skal udgør mindre end 20%. Butikker i denne branche har som regel et salgsareal på mindst 400 m2.;- Forretninger med fuldt fødevaresortiment og et salgsareal på mindst 400 m2 hvor non-food-varer som hovedregel udgør mindre end 20 % af detailomsætningen;;- Selvbetjeningsbutikker, der har fuldt fødevaresortiment og hvor omsætningen af non-food-varer udgør mere end 20 % og hvor salgsarealet udgør mindst 1.500 m2, jf.<ref>47.19.00</ref>;;
416;"47.11.30";2;Discountforretninger;Branchen omfatter butikker med sparsom butiksindretning og et begrænset varesortiment, der  for det for meste er hverdagsvarer som kolonial, mejeriprodukter og ferske kød varer. Butikker i denne branche er som regel mellem 400m2 og 1000m2;"- Selvbetjeningsbutikker med sparsom butiksindretning og med et begrænset varesortiment
- Varesortimentet er primært indenfor kolonial, drikkevarer, konserves, mejeriprodukter, pålægsvarer og fersk kød
- Butiksstørrelsen er typisk på mellem 400 m2 og 1.000 m2";;;;
417;"47.19.00";2;Anden detailhandel fra ikke-specialiserede forretninger;Branchen omfatter store forretninger, som fx stormagasiner og varehuse, med stort salgsareal og et bredt sortiment. For mindre butikker med mindre salgsareal og bredt sortiment henvises til fx 47.78.30.;"- Detailhandel med et stort varesortiment, hvor der ikke er hovedvægt på føde-,
drikke- og tobaksvarer. Varesortimentet omfatter mange varegrupper, der henhører
under forskellige specialforretninger i branchegrupperne 47.4 - 47.7, og hvor
omsætningen for en enkelt varegruppe ikke må udgøre mere end halvdelen af den
samlede omsætning.
- Stormagasiner, der har et bredt varesortiment, herunder tøj, møbler,
husholdningsapparater, isenkram, kosmetik, smykker, legetøj, sportsartikler mv.";"- Selvbetjeningsbutikker, der har fuldt fødevaresortiment og hvor omsætningen af
non-food-varer udgør mere end 20 % og hvor salgsarealet udgør mindst 1.500 m2
- Forretninger med et bredt sortiment af udsalgsvarer og et salgsareal på mindst 2.500
m2 med betjening i de enkelte afdelinger
- Varehuse
- Stormagasiner";;;
418;"47.21.00";2;Frugt- og grøntforretninger;Branchen omfatter butikker, der sælger frugt og grønt til privatpersoner.;"Specialforretninger inden for:
- Frugt og grøntsager
- Forarbejdet og konserveret frugt og grøntsager
- Frugt- og grøntforretninger der også sælger blomster";;"- Forretninger der udelukkende sælger blomster, jf.<ref>47.76.10</ref>
- Planteforhandlere og havecentre, jf.<ref>47.76.20</ref>
- Torve- og stadepladser med frugt og grønt, jf.<ref>47.81.00</ref>";;
419;"47.22.00";2;Slagter- og viktualieforretninger;Branchen omfatter slagterforretninger, der sælger kød, kødvarer samt fjerkræ til privatpersoner. Smørrebrødsforretninger er også omfattet af denne branche.;"Specialforretninger inden for:
- Kød og kødvarer, herunder fjerkræ";- Smørrebrødsforretninger;- Slagterforretninger, hvor den største værditilvækst fremkommer i forbindelse med kødforarbejdning, jf.<ref>10.11.90</ref>;;
420;"47.23.00";2;Fiskeforretninger;Branchen omfatter fiske- og vildtforretninger, der sælger fisk og ligende til privatpersoner.;"Specialforretninger inden for:
- Fisk, krebs og bløddyr og afledte produkter samt vildtforretninger";;;;
421;"47.24.00";2;Detailhandel med brød, konditori- og sukkervarer;"Branchen omfatter forretninger, uden eget bageri, der sælger brød og kager, samt slikbutikker. Branchen omfatter også forretninger, der benytter ""bake-off’, hvorimod virksomheder, der har eget bageri og selv bager brød og kager, henvises til 10.71.20.";"- Detailhandel med brød uden eget bageri
- Detailhandel med chokolade og konfekture";- Iskiosker;"- Bagerforretninger med eget bageri, jf.<ref>10.71.20</ref>
- Isbarer, jf.<ref>56.10.20</ref>";;
422;"47.25.00";2;Detailhandel med drikkevarer;Branchen omfatter butikker, der sælger drikkevarer med/uden alkohol til privatpersoner, fx vinforretninger. Drikkevarer til indtagelse på stedet ligger i branchen 56.30.00.;"Specialforretninger inden for:
- Drikkevarer (ikke til indtagelse på stedet):
- Alkoholiske drikkevarer
- Alkoholfri drikkevarer
- Vinforretninger";;;;
423;"47.26.00";2;Tobaksforretninger;Branchen omfatter butikker, der sælger tobak og ligende produkter til privatpersoner.;"Specialforretninger inden for:
- Tobak
- Tobaksprodukter";;- Døgnkiosker, jf.<ref>47.11.10</ref>;;
424;"47.29.00";2;Anden detailhandel med fødevarer i specialforretninger;"Branchen omfatter specialforretninger med salg af fødevarer til privatpersoner fx ost, helseprodukter, kaffe/the eller delikatesser. ";"Specialforretninger inden for:
- Mejeriprodukter og æg
- Andre fødevareprodukter i.a.n.";"- Kaffe-, the- og delikatesseforretninger
- Osteforretninger
- Helsekostforretninger";;;
425;"47.30.00";2;Servicestationer;Branchen omfatter tankstationer med salg af brændstof med/uden kiosk.;"- Detailhandel med brændstof til motorkøretøjer og motorcykler
- Servicestationer med eller uden kiosksalg";- Detailhandel med smøre- og kølemidler til motorkøretøjer;"- Engroshandel med brændstof, jf.<ref>46.71.00</ref>
- Detailhandel med flaskegas til madlavning eller opvarmning, jf.<ref>47.78.90</ref>";;
426;"47.41.00";2;Detailhandel med computere, ydre enheder og software;Branchen omfatter butikker, der sælger computer, printer, spillekonsoller og computerspil til privatpersoner.;"- Detailhandel med computere
- Detailhandel med ydre enheder
- Detailhandel med videospilkonsoller
- Detailhandel med massefremstillet software, herunder video- og computerspil";;- Detailhandel med uindspillede bånd, dvd'er og cd'er, jf.<ref>47.63.00</ref>;;
427;"47.42.00";2;Detailhandel med telekommunikationsudstyr;Branchen omfatter butikker, der sælger telefoner, mobiltelefoner samt tilbehør til disse til privatpersoner.;- Detailhandel med telekommunikationsudstyr;;;;
428;"47.43.00";2;Radio- og tv-forretninger;Branchen omfatter butikker, der sælger radio, tv, av-udstyr samt musikafspillere til privatpersoner. Udlejning af radio/tv til privatpersoner i forbindelse med detailhandel er også omfattet af denne branche.;"- Detailhandel med radio- og tv-udstyr
- Detailhandel med av-udstyr
- Detailhandel med cd- og dvd-afspillere mv.";"- Detailhandel med antenner
- Udlejning af radio- og tv-apparater i forbindelse med detailhandel med radio og tv";"- Forhandling af autoradioer, jf.<ref>45.32.00</ref>
- Opsætning af antenner, jf.<ref>43.21.00</ref>
- Radio- og tv-reparationsværksteder, jf.<ref>95.21.00</ref>
- Udlejning af radio- og tv-apparater uden detailhandel, jf.<ref>77.29.00</ref>
- Udlejning af videobånd, jf.<ref>77.22.00</ref>";;
